filnavn,beskrivelse,dato
2026-08-15_vapendepot-klargjoring.jpg,Våpendepot · Klargjøring,2026·08·15
2026-06-21_roykdekket-fremrykning.jpg,Røyklegging · Fremrykning,2026·06·21
2026-02-15_wadi-kryssing.png,Wadi-kryssing · Kjøretøy,2026·02·15
2026-06-21_briefing-styrkesamling.jpg,Briefing · Styrkesamling,2026·06·21
2026-06-14_pansret-sikring-gardstun.jpg,Pansret sikring · Gårdsbebyggelse,2026·06·14
2026-05-10_Chinook_innsetting.png,Innsetting · Chinook,2026·05·10
2026-05-10_Sanitet_patrulje.png,Patrulje · Kolonne,2026·05·10
2025-10-19_cqb-hangar.jpg,CQB · Hangar-clearing,2025·10·19
2026-03-08_mekanisert-framrykk.png,Mekanisert · Framrykk,2026·03·08
2026-03-08_rekognosering-skog.png,Rekognosering · Skogsposisjon,2026·03·08
2026-02-01_stridskontakt-orken.png,Stridskontakt · Ørken,2026·02·01
2026-02-08_norsk-soldat-orken.png,Norsk soldat · Ørken-deployering,2026·02·08
2026-02-08_mekanisert-konvoi.png,Mekanisert · Konvoi-klargjøring,2026·02·08
2026-02-22_cqb-byoperasjon.png,CQB · Byoperasjon,2026·02·22
2026-05-05_IVECO.png,IVECO · Kjøretøy,2026·05·05
